作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
002314,イズムの功過,イズムのこうか,いすむのこうか,,,,,NDC 914,新字新仮名,なし,8/4/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2314.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石文明論集,岩波文庫、岩波書店,1986（昭和61）年10月16日,1998（平成10）年7月24日第26刷,1999（平成11）年4月26日第27刷,,,,,,,,,,,,柴田卓治,福地博文,https://www.aozora.gr.jp/cards/000148/files/2314_ruby_2291.zip,10/28/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/2314_13564.html,10/28/2003,ShiftJIS,JIS X 0208,0
001086,一夜,いちや,いちや,,,,,NDC 913,新字新仮名,なし,9/11/2000,9/17/2014,https://www.aozora.gr.jp/cards/000148/card1086.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集2,ちくま文庫、筑摩書房,1987（昭和62）年10月27日,1987（昭和62）年10月27日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,LUNA CAT,https://www.aozora.gr.jp/cards/000148/files/1086_ruby_5742.zip,12/5/2011,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000148/files/1086_14935.html,12/5/2011,ShiftJIS,JIS X 0208,1
000758,永日小品,えいじつしょうひん,えいしつしようひん,,,,1909（明治42）年1～3月,NDC 914,新字新仮名,なし,6/14/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card758.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/758_ruby_6056.zip,1/13/2011,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000148/files/758_14936.html,1/13/2011,ShiftJIS,JIS X 0208,1
002669,岡本一平著並画『探訪画趣』序,おかもといっぺいちょならびにが『たんぼうがしゅ』じょ,おかもといつへいちよならひにかたんほうかしゆしよ,,,,,NDC 914,新字新仮名,なし,5/27/2002,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2669.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,筑摩全集類聚版　夏目漱石全集　10,筑摩書房,1972（昭和47）年1月10日,1972（昭和47）年1月10日第1刷,,,,,,,,,,,,,Nana ohbe,米田進,https://www.aozora.gr.jp/cards/000148/files/2669_ruby_6341.zip,5/11/2003,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/2669_6501.html,5/11/2003,ShiftJIS,JIS X 0208,1
059017,おはなし,おはなし,おはなし,,,,「浅草文庫　第三十一号」東京高等工業学校「文芸部」、1914（大正3）年5月10日,NDC 914,新字新仮名,なし,2/9/2020,1/24/2020,https://www.aozora.gr.jp/cards/000148/card59017.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,21世紀の日本人へ　夏目漱石,晶文社　　,1998（平成10）年12月25日,1998（平成10）年12月25日初版,1998（平成10）年12月25日初版,漱石全集　第二十五巻,岩波書店,1996（平成8）年5月15日,,,,,,,,,西村おきな,きりんの手紙,https://www.aozora.gr.jp/cards/000148/files/59017_ruby_70128.zip,1/24/2020,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/59017_70177.html,1/24/2020,ShiftJIS,JIS X 0208,0
000792,思い出す事など,おもいだすことなど,おもいたすことなと,,,,「朝日新聞」1910（明治43）年10月～1911（明治44）年4月,NDC 914,新字新仮名,なし,6/26/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card792.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集7,ちくま文庫、筑摩書房,1988（昭和63）年4月26日,1988（昭和63）年4月26日第1刷,1996（平成8）年3月1日第3刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,伊藤時也,https://www.aozora.gr.jp/cards/000148/files/792_ruby_2117.zip,1/13/2011,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000148/files/792_14937.html,1/13/2011,ShiftJIS,JIS X 0208,1
001046,カーライル博物館,カーライルはくぶつかん,かあらいるはくふつかん,,,,,NDC 914,新字新仮名,なし,8/31/2000,9/17/2014,https://www.aozora.gr.jp/cards/000148/card1046.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集2,ちくま文庫、筑摩書房,1987（昭和62）年10月27日,1987（昭和62）年10月27日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,LUNA CAT,https://www.aozora.gr.jp/cards/000148/files/1046_ruby_4521.zip,2/26/2004,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/1046_14938.html,2/26/2004,ShiftJIS,JIS X 0208,0
000769,薤露行,かいろこう,かいろこう,,,,,NDC 913,新字新仮名,なし,9/20/1998,9/17/2014,https://www.aozora.gr.jp/cards/000148/card769.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,倫敦塔・幻影の盾　他五篇,岩波文庫、岩波書店,1930（昭和5）年12月20日、1990（平成2）年4月16日第23刷改版,1997（平成9）年1月16日第29刷,,,,,,,,,,,,,鈴木厚司,藤本篤子,https://www.aozora.gr.jp/cards/000148/files/769_ruby_565.zip,2/26/2004,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000148/files/769_14939.html,2/26/2004,ShiftJIS,JIS X 0208,0
002383,学者と名誉,がくしゃとめいよ,かくしやとめいよ,,,,,NDC 914,新字新仮名,なし,8/13/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2383.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石文明論集,岩波文庫、岩波書店,1986（昭和61）年10月16日,1998（平成10）年7月24日第26刷,1999（平成11）年4月26日第27刷,漱石全集　第8、11～16巻,岩波書店,1985（昭和60）～1986（昭和61）年,,,,,,,,,柴田卓治,しず,https://www.aozora.gr.jp/cards/000148/files/2383_ruby_2323.zip,10/28/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/2383_13558.html,10/28/2003,ShiftJIS,JIS X 0208,0
000760,硝子戸の中,がらすどのうち,からすとのうち,,,,「朝日新聞」1915（大正4）年1月13日～2月23日,NDC 914,新字新仮名,なし,8/22/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card760.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/760_ruby_2341.zip,9/9/2012,ShiftJIS,JIS X 0208,6,https://www.aozora.gr.jp/cards/000148/files/760_14940.html,9/9/2012,ShiftJIS,JIS X 0208,1
002674,元日,がんじつ,かんしつ,,,,「朝日新聞」1910（明治43）年1月1日,NDC 914,新字新仮名,なし,5/27/2002,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2674.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,筑摩全集類聚版　夏目漱石全集　10,筑摩書房,1972（昭和47）年1月10日,1972（昭和47）年1月10日第1刷,,,,,,,,,,,,,Nana ohbe,米田進,https://www.aozora.gr.jp/cards/000148/files/2674_ruby_6327.zip,5/11/2003,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/2674_6494.html,5/11/2003,ShiftJIS,JIS X 0208,1
058276,鬼哭寺の一夜,きこくじのいちや,きこくしのいちや,,,,,NDC 911,旧字旧仮名,なし,12/9/2017,11/24/2017,https://www.aozora.gr.jp/cards/000148/card58276.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石全集　第十二卷　初期の文章及詩歌俳句,岩波書店,1967（昭和42）年3月30日,1967（昭和42）年3月30日,1975（昭和50）年11月10日第2刷,,,,,,,,,,,,フクポー,きゅうり,https://www.aozora.gr.jp/cards/000148/files/58276_ruby_63197.zip,11/24/2017,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/58276_63339.html,11/24/2017,ShiftJIS,JIS X 0208,0
002670,木下杢太郎『唐草表紙』序,きのしたもくたろう『からくさひょうし』じょ,きのしたもくたろうからくさひようししよ,,,,,NDC 913 914,新字新仮名,なし,5/27/2002,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2670.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,筑摩全集類聚版　夏目漱石全集　10,筑摩書房,1972（昭和47）年1月10日,1972（昭和47）年1月10日第1刷,,,,,,,,,,,,,Nana ohbe,米田進,https://www.aozora.gr.jp/cards/000148/files/2670_ruby_6329.zip,5/11/2003,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/2670_6495.html,5/11/2003,ShiftJIS,JIS X 0208,1
000778,教育と文芸,きょういくとぶんげい,きよういくとふんけい,,,,,NDC 914,新字新仮名,なし,8/4/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card778.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石文明論集,岩波文庫、岩波書店,1986（昭和61）年10月16日,1998（平成10）年7月24日第26刷,1999（平成11）年4月26日第27刷,,,,,,,,,,,,柴田卓治,福地博文,https://www.aozora.gr.jp/cards/000148/files/778_ruby_2283.zip,10/28/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/778_13563.html,10/28/2003,ShiftJIS,JIS X 0208,0
055936,京に着ける夕,きょうにつけるゆうべ,きようにつけるゆうへ,,,,「大阪朝日新聞」1907（明治40）年4月9日～11日,NDC 915,旧字旧仮名,なし,2/9/2019,1/29/2019,https://www.aozora.gr.jp/cards/000148/card55936.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,現代紀行文學全集　第四卷　西日本篇,修道社,1958（昭和33）年4月15日,1958（昭和33）年4月15日,1959（昭和34）年4月10日,,,,,,,,,,,,岡村和彦,きりんの手紙,https://www.aozora.gr.jp/cards/000148/files/55936_ruby_66914.zip,1/29/2019,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/55936_66960.html,1/29/2019,ShiftJIS,JIS X 0208,0
000777,京に着ける夕,きょうにつけるゆうべ,きようにつけるゆうへ,,,,「大阪朝日新聞」1907（明治40）年4月9日～11日,NDC 915,新字新仮名,なし,5/12/1999,9/29/2018,https://www.aozora.gr.jp/cards/000148/card777.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,,1996（平成8）年7月15日第5刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月刊行,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/777_ruby_1717.zip,5/25/2011,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/777_43437.html,5/25/2011,ShiftJIS,JIS X 0208,0
002373,虚子君へ,きょしくんへ,きよしくんへ,,,,,NDC 772 914,新字新仮名,なし,6/14/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card2373.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月刊行,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/2373_ruby_2077.zip,11/28/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/2373_13940.html,11/28/2003,ShiftJIS,JIS X 0208,0
000776,草枕,くさまくら,くさまくら,,,,「新小説」1906（明治39）年9月,NDC 913,新字新仮名,なし,2/17/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card776.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集3,ちくま文庫、筑摩書房,1987（昭和62）年12月1日,1987（昭和62）年12月1日第1刷,1998（平成10）年10月5日第4刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,伊藤時也,https://www.aozora.gr.jp/cards/000148/files/776_ruby_6020.zip,5/21/2011,ShiftJIS,JIS X 0208,5,https://www.aozora.gr.jp/cards/000148/files/776_14941.html,5/21/2011,ShiftJIS,JIS X 0208,2
000761,虞美人草,ぐびじんそう,くひしんそう,,,,「朝日新聞」1907（明治40）年6～10月,NDC 913,新字新仮名,なし,4/3/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card761.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集4,ちくま文庫、筑摩書房,1988（昭和63）年1月26日,1988（昭和63）年1月26日第1刷,1994（平成6）年4月10日第2刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,伊藤時也,https://www.aozora.gr.jp/cards/000148/files/761_ruby_1861.zip,1/31/2004,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000148/files/761_14485.html,1/31/2004,ShiftJIS,JIS X 0208,0
000770,ケーベル先生,ケーベルせんせい,けえへるせんせい,,,,,NDC 914,新字新仮名,なし,5/12/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card770.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月刊行,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/770_ruby_1713.zip,5/29/2011,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/770_43504.html,5/29/2011,ShiftJIS,JIS X 0208,0
000771,ケーベル先生の告別,ケーベルせんせいのこくべつ,けえへるせんせいのこくへつ,,,,,NDC 914,新字新仮名,なし,9/9/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card771.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,硝子戸の中,角川文庫、角川書店,1954（昭和29）年6月10日,1994（平成6）年3月10日改版21版,1988（昭和63）年5月30日改版19版,,,,,,,,,,,,柴田卓治,しず,https://www.aozora.gr.jp/cards/000148/files/771_ruby_2407.zip,11/21/2003,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/771_13905.html,11/21/2003,ShiftJIS,JIS X 0208,0
000759,現代日本の開化,げんだいにほんのかいか,けんたいにほんのかいか,,,,,NDC 914,新字新仮名,なし,2/1/2000,9/17/2014,https://www.aozora.gr.jp/cards/000148/card759.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/759_ruby_3240.zip,9/8/2011,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/759_44901.html,9/8/2011,ShiftJIS,JIS X 0208,0
000775,行人,こうじん,こうしん,,,,「朝日新聞」1912（大正元）年12月～1913（大正2）年11月,NDC 913,新字新仮名,なし,6/13/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card775.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集7,ちくま文庫、筑摩書房,1988（昭和63）年4月26日,1988（昭和63）年4月26日第1刷,1996（平成8）年3月1日第3刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,伊藤時也,https://www.aozora.gr.jp/cards/000148/files/775_ruby_2064.zip,2/26/2004,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/775_14942.html,2/26/2004,ShiftJIS,JIS X 0208,0
000774,坑夫,こうふ,こうふ,,,,「朝日新聞」1908（明治41）年1～4月,NDC 913,新字新仮名,なし,4/13/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card774.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集4,ちくま文庫、筑摩書房,1988（昭和63）年1月26日,1988（昭和63）年1月26日第1刷,1994（平成6）年4月10日第2刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,伊藤時也,https://www.aozora.gr.jp/cards/000148/files/774_ruby_1640.zip,2/26/2004,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000148/files/774_14943.html,2/26/2004,ShiftJIS,JIS X 0208,0
000773,こころ,こころ,こころ,,,,「朝日新聞」1914（大正3）年4～8月,NDC 913,新字新仮名,なし,7/31/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card773.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,こころ,集英社文庫、集英社,1991（平成3）年2月25日,1995（平成7）年6月14日第10刷,1996（平成8）年6月30日第14刷,,,,,,,,,,,,j.utiyama,伊藤時也,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,10/31/2010,ShiftJIS,JIS X 0208,12,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,10/31/2010,ShiftJIS,JIS X 0208,3
004689,『心』広告文,『こころ』こうこくぶん,こころこうこくふん,,,,「時事新報」1914（大正3）年9月26日,NDC 916,新字旧仮名,なし,4/19/2003,9/17/2014,https://www.aozora.gr.jp/cards/000148/card4689.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石全集　第十六巻,岩波書店,1995（平成7）年4月19日,1995（平成7）年4月19日,1995（平成7）年4月19日,漱石全集　第十一巻,岩波書店,1966（昭和41）年10月,,,,,,,,,砂場清隆,小林繁雄,https://www.aozora.gr.jp/cards/000148/files/4689_txt_9473.zip,3/31/2003,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/4689_9474.html,3/31/2003,ShiftJIS,JIS X 0208,0
004688,『心』自序,『こころ』じじょ,こころししよ,,,,,NDC 913 914,新字旧仮名,なし,4/19/2003,9/17/2014,https://www.aozora.gr.jp/cards/000148/card4688.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石全集　第十六巻,岩波書店,1995（平成7）年4月19日,1995（平成7）年4月19日,1995（平成7）年4月19日,心,岩波書店,1914（大正3）年9月20日,,,,,,,,,砂場清隆,小林繁雄,https://www.aozora.gr.jp/cards/000148/files/4688_ruby_9465.zip,3/31/2003,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/4688_9466.html,3/31/2003,ShiftJIS,JIS X 0208,0
004687,『心』予告,『こころ』よこく,こころよこく,,,,「東京朝日新聞」1914（大正3）年4月16日、「大阪朝日新聞」1914（大正3）年4月17日,NDC 916,新字旧仮名,なし,4/19/2003,9/17/2014,https://www.aozora.gr.jp/cards/000148/card4687.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,漱石全集　第十六巻,岩波書店,1995（平成7）年4月19日,1995（平成7）年4月19日,1995（平成7）年4月19日,,,,,,,,,,,,砂場清隆,小林繁雄,https://www.aozora.gr.jp/cards/000148/files/4687_ruby_9467.zip,3/31/2003,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/4687_9468.html,3/31/2003,ShiftJIS,JIS X 0208,0
001073,琴のそら音,ことのそらね,ことのそらね,,,,,NDC 913,新字新仮名,なし,8/31/2000,9/17/2014,https://www.aozora.gr.jp/cards/000148/card1073.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集2,ちくま文庫、筑摩書房,1987（昭和62）年10月27日,1987（昭和62）年10月27日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,LUNA CAT,https://www.aozora.gr.jp/cards/000148/files/1073_ruby_4526.zip,2/26/2004,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/1073_14944.html,2/26/2004,ShiftJIS,JIS X 0208,0
000766,コンラッドの描きたる自然について,コンラッドのえがきたるしぜんについて,こんらつとのえかきたるしせんについて,,,,,NDC 930,新字新仮名,なし,6/14/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card766.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月刊行,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/766_ruby_2068.zip,11/28/2003,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/766_13942.html,11/28/2003,ShiftJIS,JIS X 0208,0
000793,作物の批評,さくぶつのひひょう,さくふつのひひよう,,,,,NDC 901,新字新仮名,なし,9/15/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card793.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,1996（平成8）年7月15日第5刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/793_ruby_2448.zip,2/26/2004,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000148/files/793_14945.html,2/26/2004,ShiftJIS,JIS X 0208,0
000784,三山居士,さんざんこじ,さんさんこし,,,,,NDC 914,新字新仮名,なし,5/12/1999,9/17/2014,https://www.aozora.gr.jp/cards/000148/card784.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,1988（昭和63）年7月26日第1刷,1996（平成8）年7月15日第5刷,筑摩全集類聚版夏目漱石全集,筑摩書房,1971（昭和46）年4月～1972（昭和47）年1月,,,,,,,,,柴田卓治,大野晋,https://www.aozora.gr.jp/cards/000148/files/784_ruby_1721.zip,6/3/2011,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000148/files/784_43521.html,6/3/2011,ShiftJIS,JIS X 0208,0
058842,三四郎,さんしろう,さんしろう,,,,「東京朝日新聞」1908（明治41）年9月1日～1908（明治41）年12月29日,,新字旧仮名,なし,12/9/2022,11/28/2022,https://www.aozora.gr.jp/cards/000148/card58842.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,定本　漱石全集　第五巻,岩波書店,2017（平成29）年4月7日,2017（平成29）年4月7日第1刷,2017（平成29）年4月7日第1刷,,,,,,,,,,,,砂場清隆,木下聡,https://www.aozora.gr.jp/cards/000148/files/58842_ruby_76723.zip,11/28/2022,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000148/files/58842_76759.html,11/28/2022,ShiftJIS,JIS X 0208,0
000794,三四郎,さんしろう,さんしろう,,,,「朝日新聞」1908（明治41）年9月1日～12月29日,NDC 913,新字新仮名,なし,7/1/2000,9/17/2014,https://www.aozora.gr.jp/cards/000148/card794.html,000148,夏目,漱石,なつめ,そうせき,なつめ,そうせき,Natsume,Soseki,著者,1867-02-09,12/9/1916,なし,三四郎,角川文庫クラシックス、角川書店,1951（昭和26）年10月20日,1997（平成9）年6月10日第127刷,,,,,,,,,,,,,古村充,かとうかおり,https://www.aozora.gr.jp/cards/000148/files/794_ruby_4237.zip,6/19/2014,ShiftJIS,JIS X 0208,5,https://www.aozora.gr.jp/cards/000148/files/794_14946.html,6/19/2014,ShiftJIS,JIS X 0208,4
