作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
051216,長江游記,ちょうこうゆうき,ちようこうゆうき,,,,,NDC 915,新字新仮名,なし,3/31/2015,2/28/2015,https://www.aozora.gr.jp/cards/000879/card51216.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,上海游記・江南游記,講談社文芸文庫、講談社,2001（平成13）年10月10日,2001（平成13）年10月10日第1刷,2001（平成13）年10月10日第1刷,芥川龍之介全集　第十一巻,岩波書店,1996（平成8）年9月,,,,,,,,,門田裕志,岡山勝美,https://www.aozora.gr.jp/cards/000879/files/51216_ruby_55977.zip,2/28/2015,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/51216_56022.html,2/28/2015,ShiftJIS,JIS X 0208,0
000172,樗牛の事,ちょぎゅうのこと,ちよきゆうのこと,,,,「人文」1919（大正8）年1月,NDC 914,新字新仮名,なし,1/12/1999,9/17/2014,https://www.aozora.gr.jp/cards/000879/card172.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,羅生門・鼻・芋粥,角川文庫、角川書店,1950（昭和25）年10月20日,1985（昭和60）年11月10日改版38版,1985（昭和60）年11月10日改版38版,,,,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/172_ruby_1225.zip,3/15/2004,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/172_15218.html,3/15/2004,ShiftJIS,JIS X 0208,0
001141,追憶,ついおく,ついおく,,,,「文芸春秋」1926（大正15）年4月～1927（昭和2）年2月,NDC 914,新字新仮名,なし,1/29/2001,9/17/2014,https://www.aozora.gr.jp/cards/000879/card1141.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,河童・玄鶴山房,角川文庫、角川書店,1969（昭和44）年11月30日改版初版,1979（昭和54）年9月20日改版14版,1979（昭和54）年9月20日改版14版,,,,,,,,,,,,一色伸子,小林繁雄,https://www.aozora.gr.jp/cards/000879/files/1141_ruby_5097.zip,3/16/2004,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/1141_15265.html,3/16/2004,ShiftJIS,JIS X 0208,1
043385,恒藤恭氏,つねとうきょうし,つねとうきようし,,,,,NDC 914,新字新仮名,なし,3/11/2005,9/18/2014,https://www.aozora.gr.jp/cards/000879/card43385.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,1995（平成7）年1月10日,1995（平成7）年1月10日第1刷,1995（平成7）年1月10日第1刷,芥川龍之介全集第1～9、12巻,岩波書店,1977（昭和52）年7、9～12月、1978（昭和53）年1～4、7月,,,,,,,,,向井樹里,門田裕志,https://www.aozora.gr.jp/cards/000879/files/43385_ruby_17695.zip,2/20/2005,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/43385_17882.html,2/20/2005,ShiftJIS,JIS X 0208,0
000166,手紙,てがみ,てかみ,,,,,NDC 913,新字新仮名,なし,2/3/1999,9/17/2014,https://www.aozora.gr.jp/cards/000879/card166.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,芥川龍之介全集6,ちくま文庫、筑摩書房,1987（昭和62）年3月24日,1993（平成5）年2月25日第6刷,1997（平成9）年4月15日第8刷,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/166_ruby_1459.zip,3/15/2004,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/166_15219.html,3/15/2004,ShiftJIS,JIS X 0208,0
043386,出来上った人,できあがったひと,てきあかつたひと,――室生犀星氏――,――むろうさいせいし――,,,NDC 914,新字新仮名,なし,3/13/2007,9/21/2014,https://www.aozora.gr.jp/cards/000879/card43386.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,1995（平成7）年1月10日,1995（平成7）年1月10日第1刷,1995（平成7）年1月10日第1刷,芥川龍之介全集第1～9、12巻,岩波書店,1977（昭和52）年7、9～12月、1978（昭和53）年1～4、7月,,,,,,,,,向井樹里,砂場清隆,https://www.aozora.gr.jp/cards/000879/files/43386_ruby_25696.zip,2/12/2007,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/43386_26117.html,2/12/2007,ShiftJIS,JIS X 0208,0
000034,伝吉の敵打ち,でんきちのかたきうち,てんきちのかたきうち,,,,「サンデー毎日」1924（大正13）年1月,NDC 913,新字新仮名,なし,1/8/1999,9/17/2014,https://www.aozora.gr.jp/cards/000879/card34.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,芥川龍之介全集5,ちくま文庫、筑摩書房,1987（昭和62）年2月24日,1995（平成7）年4月10日第6刷,1996（平成8）年7月15日第7刷,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/34_ruby_1130.zip,3/15/2004,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/34_15220.html,3/15/2004,ShiftJIS,JIS X 0208,0
000167,点鬼簿,てんきぼ,てんきほ,,,,「改造　第八卷第十一号」1926（大正15）年10月1日,NDC 914,新字新仮名,なし,10/5/1998,2/25/2016,https://www.aozora.gr.jp/cards/000879/card167.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,昭和文学全集　第1巻,小学館,1987（昭和62）年5月1日,1987（昭和62）年5月1日初版第1刷,,芥川龍之介全集　第八卷,岩波書店,1978（昭和53）年3月22日,,,,,,,,,j.utiyama,山本奈津恵,https://www.aozora.gr.jp/cards/000879/files/167_ruby_588.zip,2/25/2016,ShiftJIS,JIS X 0208,5,https://www.aozora.gr.jp/cards/000879/files/167_15143.html,2/25/2016,ShiftJIS,JIS X 0208,3
003740,点心,てんしん,てんしん,,,,,NDC 914,新字旧仮名,なし,7/25/2007,9/21/2014,https://www.aozora.gr.jp/cards/000879/card3740.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,1971（昭和46）年6月5日,1979（昭和54）年4月10日初版第11刷,,,,,,,,,,,,,土屋隆,松永正敏,https://www.aozora.gr.jp/cards/000879/files/3740_ruby_27231.zip,6/27/2007,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/3740_27319.html,6/27/2007,ShiftJIS,JIS X 0208,0
003807,東京小品,とうきょうしょうひん,とうきようしようひん,,,,,NDC 914,新字旧仮名,なし,7/25/2007,9/21/2014,https://www.aozora.gr.jp/cards/000879/card3807.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,7/24/1927,なし,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,1971（昭和46）年6月5日,1979（昭和54）年4月10日初版第11刷,,,,,,,,,,,,,土屋隆,松永正敏,https://www.aozora.gr.jp/cards/000879/files/3807_ruby_27232.zip,6/27/2007,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/3807_27320.html,6/27/2007,ShiftJIS,JIS X 0208,0
